player,map,category,time,proof,date,tag
"Gavin","River of Ice","R6 Skipless","12.9","https://cdn.discordapp.com/attachments/974763105986945065/974831831067279370/IMG_2490.png?ex=68e06b64&is=68df19e4&hm=f3fcfc9cd9f5ffba4caf452054a5cd7a441d0f85b8cfcf0d0872b03e658f6ab7&","May 13, 2022",""
"Nugglei","Night Terrors","Skip IGT","17.4","https://youtu.be/NjI_v9wYZMA","May 20, 2022",""
"Nugglei","Reflection","R15 Skipless","31.8","https://www.youtube.com/watch?v=cTY6R6nHaVY","May 20, 2022",""
"Nugglei","Laser Tag","R15 Skipless","22.8","https://youtu.be/j9bb9ZVkrD0","May 21, 2022",""
"Nugglei","Laser Tag","R6 Skipless","22.9","https://youtu.be/VrUO7VsayYE","May 21, 2022",""
"Nugglei","Autumn Woodlands","Glitch","0","https://youtu.be/93TTbF0UiRM","May 21, 2022",""
"1caut","River of Ice","Skipless IGT","12.8","https://www.youtube.com/watch?v=6gL4htP7ceY","June 6, 2022",""
"1caut","River of Ice","Skipless EGT","12.833","https://www.youtube.com/watch?v=6gL4htP7ceY","June 7, 2022",""
"Nugglei","Candyland","R6 Skipless","16.1","https://youtu.be/2wc63jDM2p0","June 9, 2022",""
"Nugglei","Dragons Lair","Skip EGT","27.25","https://www.youtube.com/watch?v=wNWDJdt_rEE","June 19, 2022",""
"Theobigman","River of Ice","R6 Skipless","12.9","https://www.youtube.com/watch?v=bwNjoLITPro","June 30, 2022",""
"Nugglei","The Orion Disaster","R15 Skipless","16.1","https://youtu.be/P9nTT4yw-zk?si=HujLbshc7G2d2OZ5","July 12, 2022",""
"Nugglei","Clockwork Colosseum","Skipless IGT","22.5","https://cdn.discordapp.com/attachments/996872878106615909/996888023264403596/2022-07-13_16-00-55_Trim.mp4?ex=6899b512&is=68986392&hm=a2aed3966508b40dedff884f7bb394d92e8b1fd0c24b2767a6f7b2dcfe6f9472&","July 13, 2022",""
"Nugglei","Fuyu Village","R15 Skipless","19.7","https://cdn.discordapp.com/attachments/974436089525862450/996658159248740462/2022-07-13_00-28-37_Trim.mp4?ex=68d77e3e&is=68d62cbe&hm=e9f11c8f2689dda8083059bfd44508294907de9593575fc14acc7b826522ba99&","July 13, 2022",""
"Boostbomb","Swamp","Skipless IGT","24.2","https://www.youtube.com/watch?v=BSZUHkRH-nc","July 15, 2022",""
"qkr898","Ravine","Skipless IGT","15.6","https://youtu.be/cViD1aZ90jA","July 15, 2022",""
"Vegeta","River of Ice","R6 Skipless","12.9","https://streamable.com/2aiwxy","July 15, 2022",""
"Boostbomb","Swamp","Skipless EGT","24.233","https://www.youtube.com/watch?v=BSZUHkRH-nc","July 15, 2022",""
"qkr898","Ravine","Skipless EGT","15.65","https://www.youtube.com/watch?v=cViD1aZ90jA","44758",""
"1caut","River of Ice","R6 Skipless","12.9","https://cdn.discordapp.com/attachments/974763105986945065/998982070120484984/2022-07-19_16-57-28.mp4?ex=68dff28d&is=68dea10d&hm=b872c2b83d84831ff17c6a265cb2978990999a8808f1522fb5b4dafbf9c32bc6&","July 19, 2022",""
"Nugglei","Dragons Lair","Skip IGT","27.3","https://youtu.be/wNWDJdt_rEE","44761",""
"Chriss","Dragons Lair","Skip IGT","27.3","https://media.discordapp.net/attachments/585481591074062336/1000121036928450641/unknown.png?ex=69654a4c&is=6963f8cc&hm=82c4c18ea5fbb513c9d06174f9e05281dd744ebf39e9a9fae082018c3d7521d0&=&format=webp&quality=lossless&width=1664&height=1218","44764",""
"VibeCover","River of Ice","R6 Skipless","12.9","https://imgur.com/ddZYZf1","July 29, 2022",""
"Nugglei","Western Bluffs","R6 Skipless","18.4","https://youtu.be/e_MwXE3QDuk?si=f1hpan7mOkgBj3Wg","August 9, 2022",""
"Nugglei","Jurassic Coast","R6 Skipless","16.4","https://youtu.be/1dqOBVpXWFs?si=aTrLWbVMmCdrvERh","August 12, 2022",""
"Nugglei","Clockwork Colosseum","R15 Skipless","22.6","https://youtu.be/sScqkBrJ2MA","44785",""
"Nugglei","Grassy Mountain","R15 Skipless","31.1","https://discord.com/channels/582916403691257876/999655699338510366/1009137661828665415","August 16, 2022",""
"Nugglei","Western Bluffs","R15 Skipless","18.3","https://youtu.be/2QeTPOSRvMs","44794",""
"Vegeta","Western Bluffs","Glitch","7.4","https://streamable.com/imk486","August 24, 2022",""
"Nugglei","Canyon","R6 Skipless","15.4","https://youtu.be/EKcmjTKw9tU?si=jkV5h5a6sJuGPBvg","August 25, 2022",""
"Vegeta","Candyland","Glitch","6.2","https://streamable.com/w0hzit","August 25, 2022",""
"Potato","Candyland","R6 Skipless","16.1","https://www.youtube.com/watch?v=eIwrgVpfFIA","August 26, 2022",""
"Potato","River of Ice","R6 Skipless","12.9","https://www.youtube.com/watch?v=Cd-nwedVJWs","August 26, 2022",""
"Vegeta","The Realm Between","Glitch","6.7","https://streamable.com/9i3ray","August 26, 2022",""
"Vegeta","Taiga","Glitch","14.6","https://streamable.com/5mfgbx","August 26, 2022",""
"Nugglei","The Orion Disaster","Skip IGT","16","https://youtu.be/gWQwmcpHIsM","August 28, 2022",""
"Nugglei","Fuyu Village","Skipless IGT","19.6","https://youtu.be/6kz83G4aZSY","August 31, 2022",""
"Vegeta","Winter Cove","Glitch","5.2","https://streamable.com/y4upy6","September 1, 2022",""
"Chriss","Autumn Woodlands","Skip IGT","11.3","https://cdn.discordapp.com/attachments/585481591074062336/1015750951757426738/2022-09-03_19-29-26_Trim.mp4?ex=689a6f4a&is=68991dca&hm=fca845babc7c425ec9e6f1e1b9382782ff5b743919b64b16ea7b4d2771f26370&","September 3, 2022",""
"Chriss","Taiga","Skipless IGT","19.2","https://discord.com/channels/582916403691257876/996872878106615909/1015634451474173953","44807",""
"Chriss","Snowy Slopes","Skipless IGT","35.9","https://discord.com/channels/582916403691257876/996872878106615909/1015962223316828180","44808",""
"Chriss","Melodical Fantasy","Skip IGT","37.9","https://www.youtube.com/watch?v=Ewe4yRR_a6c","44808",""
"Vegeta","Enchanted Forest","R6 Skipless","25.3","https://youtu.be/75d8EOlFL7k","44809",""
"Nugglei","Enchanted Forest","R6 Skipless","25.3","https://youtu.be/QYggeuwlh_k?si=uUqdDZ8Zi1RQdxbG","September 5, 2022",""
"Chriss","Snowy Slopes","Skipless EGT","35.883","https://discord.com/channels/582916403691257876/996872878106615909/1015962223316828180","September 5, 2022",""
"Vegeta","Swamp","Glitch","11.8","https://streamable.com/ttu045","September 6, 2022",""
"1caut","Autumn Woodlands","Glitch","0","","September 8, 2022",""
"Vegeta","Autumn Woodlands","Glitch","0","","September 9, 2022",""
"Boostbomb","Frozen","Skipless IGT","25","https://youtu.be/2FGB0aIhsZE","September 10, 2022",""
"qkr898","Cavern of Darkness","Skipless IGT","22.4","https://www.youtube.com/watch?v=5RjXZ0I6VFQ","September 10, 2022",""
"Gustavo","Autumn Woodlands","Glitch","0","https://discord.com/channels/582916403691257876/727239118396063806/1018286869781422090","September 10, 2022",""
"Boostbomb","Frozen","Skipless EGT","25.05","https://www.youtube.com/watch?v=2FGB0aIhsZE","September 10, 2022",""
"Rube7tube","Autumn Woodlands","Glitch","0","","September 11, 2022",""
"Nugglei","Frosted Fortress","Skip IGT","33.7","https://www.youtube.com/watch?v=_8BPjbh4Ju0","44815",""
"Nugglei","Frosted Fortress","Skip EGT","33.6","https://www.youtube.com/watch?v=_8BPjbh4Ju0","44815",""
"Vegeta","Ancient Tomb","Glitch","23.8","https://streamable.com/cgzgpu","September 18, 2022",""
"Nugglei","Enchanted Forest","R15 Skipless","25.3","https://youtu.be/rLVPYLtgrSw?si=nQQSmBVw1EweOFve","September 22, 2022",""
"Vegeta","Mystic Alps","R15 Skip","15.7","https://streamable.com/24ripd","September 22, 2022",""
"Nugglei","Enchanted Forest","Skipless IGT","25.1","https://www.youtube.com/watch?v=t6kSNPBkpVw","September 25, 2022",""
"Nugglei","The Emerald Isle","Skip IGT","15.1","https://youtu.be/e-QUK9v5i7w","October 5, 2022",""
"qkr898","Magma Cavern","Skipless EGT","35.85","https://www.youtube.com/watch?v=ACZi7zpTJ5M","October 14, 2022",""
"Nugglei","Canyon","Skipless IGT","15.1","https://youtu.be/RI1fkxJmI_0","November 1, 2022",""
"Nugglei","Laser Tag","Skipless IGT","22.7","https://youtu.be/wm1YO1fGtaA","November 6, 2022",""
"Nugglei","Laser Tag","Skipless EGT","22.733","https://www.youtube.com/watch?v=wm1YO1fGtaA","November 6, 2022",""
"Nugglei","Crystal Mine","Skip IGT","23","https://youtu.be/49-p4HiHqrE","44872",""
"Nugglei","Crystal Mine","Skip EGT","22.967","https://youtu.be/49-p4HiHqrE","44872",""
"Nugglei","Mystical Gorge","R15 Skipless","15.9","https://youtu.be/lQFtsqUtn0A?si=HOi731G43ZaGSJZa","November 12, 2022",""
"Nugglei","Disaster Valley","R15 Skip","25.2","https://youtu.be/5gig3cJ6_ng","44877",""
"Nugglei","Mystical Gorge","Skipless IGT","15.8","https://youtu.be/Iv5dBwUMSyc","November 20, 2022",""
"Nugglei","Legacy","R15 Skipless","31.1","https://youtu.be/6RmU-HFuK9k?si=tyQ-Q-mGww3oFn98","November 23, 2022",""
"Rube7tube","River of Ice","R6 Skipless","12.9","https://www.youtube.com/watch?v=9oQRuSfSr2Q","December 7, 2022",""
"jeffjohnathan","River of Ice","R6 Skipless","12.9","https://www.youtube.com/watch?v=EF-3WXk3r1Q","December 7, 2022",""
"luasoft10","River of Ice","R6 Skipless","12.9","https://cdn.discordapp.com/attachments/999655731013894154/1050140658972774430/Damn.mp4?ex=68df8373&is=68de31f3&hm=77e2d837c5424243f562302713dd324812712464e1f909d4cbd89abb3f550984&","December 7, 2022",""
"luasoft10","Candyland","R6 Skipless","16.1","https://cdn.discordapp.com/attachments/999655731013894154/1050428049948147782/Damnv2.mp4?ex=68df3d9b&is=68ddec1b&hm=909ad12028931cfb105a0f4312e86a49d7c11db44d94186db8201332b44deedc&","December 8, 2022",""
"Nugglei","Mystical Gorge","R6 Skipless","16.1","https://youtu.be/DjyuKqkhnzI","December 25, 2022",""
"V_dar","River of Ice","R6 Skipless","12.9","https://www.youtube.com/watch?v=17zfCZ-G6aQ&ab_channel=V_dar","December 25, 2022",""
"Nugglei","Frozen","R6 Skipless","25.3","https://youtu.be/19ClTo91tdY?si=bEW2ihO2xBFUKR2D","December 26, 2022",""
"Boostbomb","Enchanted Forest","R6 Skipless","25.3","https://www.youtube.com/watch?v=KunsAEoKxyE","December 26, 2022",""
"Vegeta","River of Ice","Glitch","7.2","https://streamable.com/ot6w4a","December 28, 2022",""
"Arcie","River of Ice","R6 Skipless","12.9","https://www.youtube.com/watch?v=kFOBSLfSGZo","December 29, 2022",""
"Arcie","River of Ice","Skipless IGT","12.9","https://www.youtube.com/watch?v=kFOBSLfSGZo","44925",""
"Arcie","Grassy Mountain","Skipless EGT","31.133","https://www.youtube.com/watch?v=c9gz38OSikQ","44926",""
"Viceowner","River of Ice","R6 Skipless","12.9","https://youtube.com/watch?v=UqUt1wAuYUc&feature=shares","January 1, 2023",""
"Nugglei","Snowy Slopes","R15 Skipless","35.9","https://youtu.be/pI187bzGJvw?si=yXARTLUvmQ0sTb9f","January 3, 2023",""
"1caut","Shipwrecked","Glitch","17.1","https://streamable.com/jgisr3","January 3, 2023",""
"Arcie","Island Route","Skipless IGT","33.3","https://youtu.be/41OzX5OEM9o","44930",""
"Rube7tube","Jurassic Coast","Skipless IGT","16.2","https://streamable.com/np0jy7","January 8, 2023",""
"polog","River of Ice","R6 Skipless","12.9","https://cdn.discordapp.com/attachments/999655731013894154/1062569243553566811/IMG_3293.mov?ex=68dfe779&is=68de95f9&hm=67d91870a82f3b56a1d0671d4dea5faafc8e103b47b3b84861cef037f499cefa&","January 10, 2023",""
"Nugglei","Winter Cove","Skipless IGT","17.6","https://youtu.be/eWu7QARF6as","January 14, 2023",""
"Chriss","Grassy Mountain","Glitch","8.3","https://cdn.discordapp.com/attachments/727239118396063806/1063962407258574858/2023-01-14_19-13-03_Trim.mp4","January 14, 2023",""
"Nugglei","Floatroads","R6 Skipless","26.2","https://youtu.be/t0wxLxsPdL4?si=Lo1Iy7VGSFnIDfRS","January 16, 2023",""
"Max","River of Ice","R6 Skipless","12.9","https://cdn.discordapp.com/attachments/999655731013894154/1064672946884464712/2023-01-16_22-24-35.mkv?ex=68dfa5b3&is=68de5433&hm=ec6f7928a2316241215045a11b0d534e57956d052969fd5cdd617c2e2f548731&","January 16, 2023",""
"Nugglei","Dragons Lair","Skipless IGT","28.3","https://www.youtube.com/watch?v=zHGexByNzY0","January 17, 2023",""
"Nugglei","Autumn Woodlands","R15 Skip","11.4","https://youtu.be/guCuy8qUER0","January 17, 2023",""
"Gavin","Night Terrors","R6 Skipless","19","https://youtube.com/shorts/aPs4oHHdXVU","January 22, 2023",""
"Gavin","Swamp","R6 Skipless","24.4","https://youtube.com/shorts/ByIQZDckWIU","January 22, 2023",""
"Gavin","Fuyu Village","R6 Skipless","19.8","https://youtube.com/shorts/cBpJm1aJxi8","January 22, 2023",""
"1caut","Dunes","Glitch","10.5","https://streamable.com/fv74hi","January 23, 2023",""
"Gavin","The Emerald Isle","R6 Skipless","19.3","https://youtube.com/shorts/rrcHXpPrnd0?feature=share","January 25, 2023",""
"Gavin","The Emerald Isle","Skipless IGT","19.2","https://youtu.be/j5EOG5kaOVM","January 25, 2023",""
"Gavin","Ravine","Skipless IGT","15.6","https://youtube.com/shorts/vUNthVU5QsU?feature=share","January 28, 2023",""
"Max","Floatroads","R6 Skipless","26.2","https://cdn.discordapp.com/attachments/1066833926091444334/1067505208839639140/2023-01-24_17-59-53_Trim.mp4?ex=68debeb3&is=68dd6d33&hm=ed3cdc8c0ec0df3dac89c4097331c2d3caf9fb60254456632c88759c60fa0bd6&","January 28, 2023",""
"Burrito","Autumn Woodlands","Skip IGT","11.3","https://www.youtube.com/watch?v=sI2jCYVEddk","January 29, 2023",""
"Gavin","Frozen","R6 Skipless","25.3","https://youtu.be/Ye_ccWPbG7A","January 29, 2023",""
"Rube7tube","Fuyu Village","Glitch","19","https://streamable.com/eq1w9o","January 29, 2023",""
"1caut","Floatroads","Skipless EGT","26.117","https://www.youtube.com/watch?v=ULgGq0unetw","January 30, 2023",""
"Gavin","The Orion Disaster","R15 Skipless","16.1","https://youtube.com/shorts/ypwqWXkNNsA","January 31, 2023",""
"Nugglei","Legacy","R6 Skipless","31.2","https://youtu.be/wy5t2gUqkbQ?si=HjjRqTgE1t6YB8-L","February 5, 2023",""
"Max","Night Terrors","R6 Skipless","19","https://cdn.discordapp.com/attachments/999655731013894154/1071804517278044273/2023-02-05_14-11-39_Trim.mp4?ex=68dde7fe&is=68dc967e&hm=3bc51b4e7bc9d591c626374a3e7148f3e3b79c6875c8c2ef8ed3cfec3c672dbf&","February 5, 2023",""
"Mal","River of Ice","R6 Skipless","12.9","https://youtube.com/shorts/tqCoOmHwtwQ?feature=share","February 5, 2023",""
"1caut","Floatroads","Skipless IGT","26.1","https://youtu.be/ULgGq0unetw","February 7, 2023",""
"Gavin","Swamp","R15 Skipless","24.3","https://youtube.com/shorts/QVPool4mVmU","February 7, 2023",""
"Nugglei","Cavern of Darkness","R6 Skipless","22.5","https://youtu.be/Ct_bjds5hvo","February 7, 2023",""
"Rube7tube","Cavern of Darkness","Glitch","13.6","https://streamable.com/gekg9f","February 7, 2023",""
"Nugglei","Canyon","R15 Skipless","15.2","https://youtu.be/CekZkLTf7CM?si=DPRJb7I3ZL-Fd_4c","February 14, 2023",""
"Mal","Shipwrecked","Skipless IGT","62.6","https://youtu.be/1tNEfSaO39s","44974",""
"Max","Enchanted Forest","R6 Skipless","25.3","https://cdn.discordapp.com/attachments/1066833926091444334/1076689881964748841/2023-02-19_01-21-23_Trim.mp4?ex=68dfdbd7&is=68de8a57&hm=3533d11c630fb1f60f82e4dd44ac413eb0e885d31e9fb267f4790f24c1af0281&","February 20, 2023",""
"Nugglei","Grassy Mountain","R6 Skipless","31.3","https://youtu.be/qlSTrIhVZgU?si=dpXN1itDi70WDwwp","February 23, 2023",""
"Nugglei","Dragons Lair","R6 Skipless","28.7","https://youtu.be/oXv8GPN-0zw?si=AYNy_1KZX49p2a0R","February 23, 2023",""
"Nugglei","Floatroads","R15 Skipless","26.2","https://youtu.be/keBK8zEsWOU?si=L4mBaoGt7qMR14Da","February 26, 2023",""
"Nugglei","Mystic Alps","Skip IGT","14.2","https://youtu.be/NGKAE7Ocl6o","44984",""
"Nugglei","Mystic Alps","Skip EGT","14.167","https://youtu.be/NGKAE7Ocl6o","44984",""
"Gavin","Floatroads","Skipless IGT","26.1","https://www.youtube.com/watch?v=SB6y09PiqeM","February 28, 2023",""
"Vegeta","Night Terrors","Glitch","6.8","https://streamable.com/oupydk","February 28, 2023",""
"Gavin","Cosmic Cliffside","Skipless IGT","15.2","https://youtu.be/MB_NnjhAtfA","March 1, 2023",""
"Gavin","Cosmic Cliffside","Skipless EGT","15.217","https://youtu.be/MB_NnjhAtfA","March 1, 2023",""
